STUDENT NUMBER,name report last,name report first,enrollment begin date,enrollment end date,ACADEMIC TERM ID,SNAPSHOT GENERATION ID,ACADEMIC CENTER ID
762160,Harrison,James,8/22/2011 0:00,8/23/2011 0:00,20113,10285,7570
10232657,Harrison,Rafael,8/22/2011 0:00,#EMPTY,20113,10285,7570
10590924,Harrison,Arthur,8/22/2011 0:00,#EMPTY,20113,10285,7570
10824714,Harrison,Daniel,8/22/2011 0:00,#EMPTY,20113,10285,7570
10842128,Harrison,Kathryn,8/22/2011 0:00,#EMPTY,20113,10285,7570
10925476,Harrison,Mitchell,8/22/2011 0:00,#EMPTY,20113,10285,7570
10926429,Harrison,Robert,8/22/2011 0:00,#EMPTY,20113,10285,7570
10946087,Harrison,Sarah,8/22/2011 0:00,#EMPTY,20113,10285,7570
10957848,Harrison,Jonathan,8/22/2011 0:00,#EMPTY,20113,10285,7570
10986566,Harrison,Timothy,8/22/2011 0:00,#EMPTY,20113,10285,7570
10988574,Harrison,Baiba,8/22/2011 0:00,#EMPTY,20113,10285,7570
11000888,Harrison,Brenna,8/22/2011 0:00,#EMPTY,20113,10285,7570
11004004,Harrison,Keysa,8/22/2011 0:00,#EMPTY,20113,10285,7570
11008414,Harrison,Kyle,8/22/2011 0:00,#EMPTY,20113,10285,7570
11009136,Harrison,Caitlin,8/22/2011 0:00,#EMPTY,20113,10285,7570
11009559,Harrison,Jonathan,8/22/2011 0:00,#EMPTY,20113,10285,7570
11015838,Harrison,Ryan,8/24/2011 0:00,8/27/2011 0:00,20113,10285,7570
11017376,Harrison,Phillip,8/22/2011 0:00,8/24/2011 0:00,20113,10285,7570
11019149,Harrison,Amy,8/22/2011 0:00,#EMPTY,20113,10285,7570
11026980,Harrison,Berhan,8/22/2011 0:00,#EMPTY,20113,10285,7570
11032990,Harrison,Kayla,8/22/2011 0:00,#EMPTY,20113,10285,7570
11033605,Harrison,Erica,8/22/2011 0:00,#EMPTY,20113,10285,7570
11040048,Harrison,Mikayla,8/22/2011 0:00,#EMPTY,20113,10285,7570
11043549,Harrison,Madeleine,8/22/2011 0:00,#EMPTY,20113,10285,7570
11043594,Harrison,Sarah,8/22/2011 0:00,#EMPTY,20113,10285,7570
11044498,Harrison,Jon,8/22/2011 0:00,#EMPTY,20113,10285,7570
11044928,Harrison,Ross,8/22/2011 0:00,#EMPTY,20113,10285,7570
11046457,Harrison,Jonathan,8/22/2011 0:00,#EMPTY,20113,10285,7570
11051740,Harrison,Kaitlin,8/22/2011 0:00,#EMPTY,20113,10285,7570
11055429,Harrison,Eric,8/22/2011 0:00,#EMPTY,20113,10285,7570
11059485,Harrison,Nicholas,8/22/2011 0:00,8/31/2011 0:00,20113,10285,7570
11061150,Harrison,Alex,8/22/2011 0:00,#EMPTY,20113,10285,7570
11061305,Harrison,Robert,8/22/2011 0:00,8/23/2011 0:00,20113,10285,7570
11075700,Harrison,Cassandra,8/22/2011 0:00,#EMPTY,20113,10285,7570
11085315,Harrison,Sean,8/22/2011 0:00,#EMPTY,20113,10285,7570
11085424,Harrison,Christine,8/22/2011 0:00,#EMPTY,20113,10285,7570
11085464,Harrison,Steven,8/22/2011 0:00,#EMPTY,20113,10285,7570
11086017,Harrison,Kailey,8/22/2011 0:00,#EMPTY,20113,10285,7570
11091519,Harrison,Christine,8/22/2011 0:00,#EMPTY,20113,10285,7570
11091548,Harrison,Trevor,8/22/2011 0:00,#EMPTY,20113,10285,7570
11091837,Harrison,Jenna,8/22/2011 0:00,#EMPTY,20113,10285,7570
11092718,Harrison,Dominic,8/25/2011 0:00,#EMPTY,20113,10285,7570
11093259,Harrison,Lindsey,8/22/2011 0:00,#EMPTY,20113,10285,7570
11093450,Harrison,Quinn,8/22/2011 0:00,#EMPTY,20113,10285,7570
11093908,Harrison,Ashley,8/22/2011 0:00,#EMPTY,20113,10285,7570
