STUDENT NUMBER,name report last,name report first,enrollment begin date,enrollment end date,ACADEMIC TERM ID,SNAPSHOT GENERATION ID,ACADEMIC CENTER ID
20906297,Smith,Jesse,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
210957985,Smith,Jordin,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
21052944,Smith,Maurice,8/26/2011 12:00:00 AM,8/26/2011 12:00:00 AM,20113,10285,7570
21114844,Smith,Emma,8/22/2011 12:00:00 AM,8/25/2011 12:00:00 AM,20113,10285,7570
21131990,Smith,Robert,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
21146837,Smith,Julia,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
21176874,Smith,William,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
21185430,Smith,Jordyn,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
21188440,Smith-Baxter,Esequiel,8/22/2011 12:00:00 AM,#EMPTY,20113,10285,7570
21189718,Smith,Ahmad,8/22/2011 12:00:00 AM,8/26/2011 12:00:00 AM,20113,10285,7570
21198650,Smith,Hun-Huang,8/22/2011 12:00:00 AM,8/25/2011 12:00:00 AM,20113,10285,7570
21255856,Smith,Terry,8/26/2011 12:00:00 AM,8/26/2011 12:00:00 AM,20113,10285,7570
